type,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8
Danae,Green pendant,Brownness pentagon era,Green black phonix eye,Brownness arc bangs wave hair,Violet oval mouth,Red short nose,Violet ellipse truncheon,Violet four winged
Asmodel,Golden yellow cat head band,Light red long ear,Cyan black long and thin eye,Violet short voume hair,Brownness mouth,Cyan round nose,Cyan yellow ellipse truncheon,Black  six wings
Zuriel,Violet butterfly head band,Deep yellow rabbit ear ,Orange black phonix eye,Black shoulder length hair,Black round mouth,Cyan aquiline nose,Blue shield,Cyan two wing
Felicia,Blue belt,Violet cat ear,Cyan orange black perch blossom eye,Cyan braid hair,Violet oval mouth,Light orange round nose,Cyan triangle necklace,White two wing
Felicia,Yellow black,Deep yellow long ear,Cyan yellow black rui cheng eye,Violet braid hair,Light brownness round mouth,Red aquiline nose,Blue trident,Golden six wings
Asmodel,Blue bar necklace,Light black elf ear,Deep red lifting eye,Green the points bang waves  hair,Light yellow heart shaped mouth,Cyan round nose,Blue triangle necklace,Cyan four winged
Malahidiel,Cyan front lace wig,Deep red deer ear,Cyan brownness black rui cheng eye,Cyan shawls hair,Yellow mouth,Deep orange pointed nose,Cyan spear,Golden four winged
Ambiel,Violet butterfly head band,Light black deer ear,Yellow brownness black round eye,Brownness the vertical bun hair,Black heart shaped mouth,Red round nose,White spear,White four winged
Haniel,Blue round earring,Orange rabbit ear,Light yellow orange black round eye,Black shawls hair,Viole heart shaped mouth,Black pointed nose,Cyan yellow ellipse truncheon,
Danae,Violet butterfly head band,Orange deer ear,Deep yellow black lifting eye,Violet the vertical bun hair,Black oval mouth,Pink long nose,Blue clothing,Golden wing
Adnachiel,Violet cloak,Brownness short ear,Cyan golden black rui cheng eye,Dark red points in the temples hair,Orange mouth,Deep orange aquiline nose,Cyan bar head,Violet wing
Malahidiel,Violet  hair clasp,Violet pentagon era,Cyan orange litchi eye,Violet long hair,Yellow mouth,Cyan round nose,Cyan shield,White two wing
Ambiel,Blue crown,Orange rabbit ear,Yellow blue black round eye,Black side swept fringe waves  hair,Deep red oval mouth,Light orange round nose,Cyan shield,Violet wing
Adnachiel,Violet cloak,Blue cat ear,Yellow orange black round eye,Cyan the curly hair,Deep red round mouth,Light orange round nose,White ellipse truncheon,Violet wing
Asmodel,Blue hair clasp,Brownness  bar type ear,White orange litchi eye,Cyan the points bang waves  hair,Violet mouth,Black aquiline nose,Blue clothing,Violet four winged
Felicia,Yellow black earring,Light red  bar type ear,Cyan orange lifting eye,Cyan shoulder length hair,Light brownness round mouth,Deep blue long nose,Yellow ellipse truncheon,White six wings
Michael,Cyan butterfly head band,Deep red rabbit ear,Yellow orang lifting eye,Dark red short voume hair,Light yellow heart shaped mouth,Pink short nose,White spear,Cyan two wing
Verchiel,Violet bar necklace,Deep red short ear,Pink black phonix eye,Cyan arc bangs wave hair,Yellow mouth,Brownness round nose,Golden saint sword,White wing
Manuel,Pink necklace,Light black elf ear,Green  black willow eye,Cyan braid hair,Small orange mouth,Light red round nose,White semicircle truncheon,White two wing
Malahidiel,Cyan bar necklace,Green cat ear,Yellow orange black perch blossom eye,Dark red braid hair,Deep red heart shaped mouth,Red round nose,White clothing,Cyan two wing
Malahidiel,Violet cloak,Light red rabbit ear,Cyan brownness black rui cheng eye,Black shawls hair,Light yellow heart shaped mouth,Blue long nose,Cyan triangle necklace,White six wings
Asmodel,Blue bar necklace,Light black elf ear,Yellow orang lifting eye,Dark red arc bangs wave hair,Violet oval mouth,Cyan long nose,Cyan cross,
Zuriel,Violet round earring,Deep yellow  bar type ear,Deep black lifting eye,Brownness side swept fringe waves  hair,Black round mouth,Orange aquiline nose,White trident,White six wings
Manuel,Cyan black cat head band,Violet cat ear,Cyan orange litchi eye,Cyan long hair,Orange mouth,Orange pointed nose,Golden butterfly pattern necklace,White four winged
Hamaliel,Blue helmet,Violet triangle ear,Cyan black lifting eye,Black waves hair,Brownness round mouth,Green pointed nose,White shield,Golden two wing
Hamaliel,Pink green earrings,Deep red short ear,Yellow black lifting eye,Dark red shoulder length hair,Deep red round mouth,Deep red aquiline nose,Cyan yellow ellipse truncheon,Golden six wings
Felicia,Blue belt,Brownness cat ear,Cyan black litchi eye,Violet shawls hair,Light yellow heart shaped mouth,Deep blue long nose,Cyan white ellipse truncheon,Cyan four winged
Adnachiel,Deep blue earrings,Orange pentagon era,Yellow cyan  black perch blossom eye,Brownness waves hair,Red heart shaped mouth,Blue long nose,Red dress cross necklace,Black  six wings
Gabriel,Cyan blue earrings,Light red elf ear,Cyan red black perch blossom eye,Green the curly hair,Violet oval mouth,Deep red long nose,Red trident,Golden wing
Danae,Pink crown,Green deer ear,Cyan yellow black rui cheng eye,Violet the vertical bun hair,Deep red round mouth,Violet pointed nose,Cyan saint sword,Golden six wings
Cassiel,Red long stick,Violet elf ear,Brownness black willow eye,Dark red shoulder length hair,Black heart shaped mouth,Deep blue short nose,Yellow semicircle truncheon,White four winged
Asmodel,Cyan necklace,Brownness short ear,Yellow golden black perch blossom eye,Brownness arc bangs wave hair,Orange heart shaped mouth,Cyan aquiline nose,Blue butterfly pattern necklace,Golden wing
Hamaliel,Cyan butterfly head band,Light red  cat ear,Yellow brownness black round eye,Black points in the temples hair,Small orange mouth,Pink short nose,White V necklace,Black  six wings
Felicia,Blue belt,Blue pentagon era,Deep yellow black lifting eye,Black braid hair,Deep red round mouth,Pink short nose,Cyan cross,Golden four winged
Barbiel,Deep pink earrings,Cyan short ear,Light yellow black willow eye,Cyan the curly hair,Rectangle mouth,Green pointed nose,Yellow semicircle truncheon,White six wings
Manuel,Yellow belt,Light red pentagon era,Cyan black phonix eye,Black waves hair,Black mouth,Light red  pointed nose,Cyan saint sword,Golden six wings
Felicia,Yellow earrings,Blue rabbit ear,Light red black lifting eye,Green  the vertical bun hair,Orange round mouth,Orange round nose,Red spear,
Zuriel,Violet round earring,Deep yellow long ear,Cyan black willow eye,Violet the points bang waves  hair,Violet oval mouth,Light brownness round nose,White triangle necklace,Violet wing
Michael,Cyan butterfly head band,Blue triangle ear,Light red black lifting eye,White the curly hair,Pink mouth,Deep orange aquiline nose,Cyan bar head,Cyan wing
Hamaliel,Cyan wing cloak,Deep yellow pentagon era,Yellow green black perch blossom eye,Cyan the points bang waves  hair,Violet mouth,Light brownness round nose,Golden butterfly pattern necklace,Golden two wing
Danae,Cyan crown,Orange elf ear,Light cyan orange black rui cheng eye,White side swept fringe waves  hair,Deep red oval mouth,Cyan long nose,White semicircle truncheon,White four winged
Barbiel,Cyan wing cloak,Green elf ear,Cyan black phonix eye,Brownness shawls hair,Deep red mouth,Deep red short nose,Red bar head,White wing
Zuriel,Green black,Blue rabbit ear,Light cyan orange black rui cheng eye,Brownness short voume hair,Orange heart shaped mouth,Black round nose,Deep cyan ellipse truncheon,Golden two wing
Manuel,Blue hair clasp,Light red  cat ear,White orange litchi eye,Dark red braid hair,Black heart shaped mouth,Pink aquiline nose,Blue clothing,Violet four winged
Gabriel,Blue black earring,Blue pentagon era,Cyan violet black perch blossom eye,Green the points bang waves  hair,Red heart shaped mouth,Black long nose,Red saint sword,Violet six wings
Felicia,Cyan wing cloak,Light black cat ear,Cyan orange lifting eye,Golden shawls hair,Deep red oval mouth,Green round nose,Cyan butterfly pattern necklace,Black  six wings
Danae,Pink crown,Light red pentagon era,Bright red black phonix eye,Violet arc bangs wave hair,Black round mouth,Violet pointed nose,Golden shield,Violet two wing
Barbiel,Cyan wing cloak,Orange triangle ear,Deep red black willow eye,White side swept fringe waves  hair,Deep red rectangle mouth,Black round nose,Yellow ellipse truncheon,Violet two wing
Verchiel,Blue wing cloak,Orange deer ear,Yellow blue black round eye,Violet shoulder length hair,Rectangle mouth,Green pointed nose,Blue clothing,Cyan  six wings
Manuel,Green pendant,Cyan triangle ear,Light orange litchi eye,Black shoulder length hair,Black oval mouth,Black long nose,Red saint sword,White two wing
Gabriel,Pink crown,Green  bar type ear,Deep brownness black round eye,Dark red waves hair,Light yellow oval mouth,Brownness round nose,Cyan golden ellipse truncheon ,
Adnachiel,Cyan long stick,Violet cat ear,Cyan orange lifting eye,Cyan the points bang waves  hair,Deep red mouth,Cyan long nose,Violet semicircle truncheon,Cyan wing
Verchiel,Violet bar necklace,Blue rabbit ear,Cyan black long and thin eye,Green the points bang waves  hair,Pink mouth,Light orange round nose,Golden bar head,Golden two wing
Malahidiel,Cyan front lace wig,Blue long ear,Gray black willow eye,Black arc bangs wave hair ,Yellow mouth,Orange short nose,Cyan clothing,
Michael,Cyan front lace wig,Brownness  bar type ear,Yellow brownness black round eye,Golden braid hair,Orange oval mouth,Green pointed nose,White dress cross necklace,Cyan  six wings
Michael,Green necklace,Brownnesself ear,Red black phonix eye,Green  waves hair,Black heart shaped mouth,Red pointed nose,Cyan white ellipse truncheon,Violet four winged
Manuel,Blue hair clasp,Deep yellow rabbit ear ,Cyan red black perch blossom eye,Violet braid hair,Violet oval mouth,Violet long nose,Blue saint sword,
Felicia,Red helmet,Brownness cat ear,Yellow brownness black round eye,White the vertical bun hair,Brownness round mouth,Blue aquiline nose,Red butterfly pattern necklace,White four winged
Gabriel,Cyan front lace wig,Cyan long ear,Yellow pink black perch blossom eye,Brownness arc bangs wave hair,Light yellow oval mouth,Violet pointed nose,Golden trident,Golden six wings
Malahidiel,Golden yellow cat head band,Light black  bar type ear,Yellow violet black perch blossom eye,Cyan long hair,Orange mouth,Cyan aquiline nose,Golden clothing,White wing
Hamaliel,Violet wing cloak,Deep red rabbit ear,Cyan black phonix eye,Black waves hair,Orange mouth,Black long nose,Golden trident,White wing
Verchiel,Violet black earring,Light black long ear,Deep yellow black lifting eye,Golden the vertical bun hair,Violet oval mouth,Cyan long nose,Blue clothing,Cyan four winged
Felicia,Blue long stick,Orange elf ear,Gray black willow eye,Cyan short voume hair,Orange mouth,Deep blue long nose,Red spear,White six wings
Adnachiel,Yellow pendant,Brownness  bar type ear,Light orange black phonix eye,Dark red the vertical bun hair,Viole heart shaped mouth,Blue aquiline nose,Golden dress cross necklace,Violet four winged
Haniel,White violet cat head band,Violet cat ear,Cyan black lifting eye,Cyan shawls hair,Light yellow heart shaped mouth,Deep blue aquiline nose,Red dress cross necklace,Violet four winged
Gabriel,Cyan front lace wig,Brownness deer ear,Cyan orange black rui cheng eye,Cyan the points bang waves  hair,Violet mouth,Dark red round nose,Red spear,White six wings
Barbiel,Cyan wing cloak,Green long ear,Violet black willow eye,Golden braid hair,Light yellow oval mouth,Deep orange aquiline nose,Blue trident,Violet six wings
Zuriel,Violet  hair clasp,Cyan triangle ear,Red black long and thin eye,Brownness arc bangs wave hair,Violet round mouth,Violet short nose,Blue triangle necklace,
Michael,Yellow belt,Brownness deer ear,Cyan black lifting eye,Black shawls hair,Brownness mouth,Cyan long nose,Blue saint sword,
Danae,Violet  hair clasp,Blue  bar type ear,Gray black willow eye,Dark red long hair,Black rectangle mouth,Deep red aquiline nose,Golden bar head,Cyan wing
Gabriel,Cyan front lace wig,Brownness deer ear,Yellow cyan  black perch blossom eye,Dark red short voume hair,Rectangle mouth,Deep orange short nose,White shield,White six wings
Adnachiel,Cyan earrings,Violet elf ear,Cyan yellow black rui cheng eye,Brownness the curly hair,Orange round mouth,Blue aquiline nose,Yellow ellipse truncheon,Cyan  six wings
Cassiel,Cyan earrings,Light red long ear,Yellow green black round eye,Green shawls hair,Orange mouth,Deep orange pointed nose,White ellipse truncheon,Violet six wings
Ambiel,Yellow blue cat head band,Orange long ear,Light golden black willow eye,Cyan arc bangs wave hair,Violet mouth,Deep blue aquiline nose,Cyan yellow ellipse truncheon,White wing
Michael,Yellow belt,Blue pentagon era,Yellow orange litchi eye,Violet side swept fringe waves  hair,Brownness mouth,Deep red short nose,Yellow semicircle truncheon,Golden six wings
Zuriel,Violet wing cloak,Light black long ear,Cyan yellow black rui cheng eye,Brownness arc bangs wave hair,Deep red round mouth,Red long nose,Red cross,Violet two wing
Haniel,Cyan pendant,Light black long ear,Yellow orange black round eye,Golden waves hair,Black heart shaped mouth,Deep blue short nose,Violet ellipse truncheon,Cyan two wing
Danae,Violet bar necklace,Deep yellow short ear,Light orange litchi eye,White shawls hair,Small orange mouth,Deep blue short nose,Cyan clothing,Cyan two wing
Haniel,Cyan pendant,Light black long ear,Cyan golden black rui cheng eye,White shawls hair,Viole heart shaped mouth,Light red  pointed nose,Golden shield,Black  six wings
Felicia,Blue long stick,Violet long ear,Light cyan orange black rui cheng eye,Black the points bang waves  hair,Orange oval mouth,Light red round nose,Golden V necklace,Black  six wings
Zuriel,Violet round earring,Orange cat ear,Yellow pink black perch blossom eye,Violet arc bangs wave hair,Black mouth,Blue aquiline nose,Violet ellipse truncheon,Black  six wings
Asmodel,Blue cloak,Light red deer ear ,Yellow green black perch blossom eye,Cyan the curly hair,Violet oval mouth,Red short nose,Golden ellipse truncheon,Golden wing
Gabriel,Yellow cyan earrings,Cyan triangle ear,Deep red black willow eye,Golden shoulder length hair,Black oval mouth,Deep red aquiline nose,Violet ellipse truncheon,Cyan wing
Michael,Cyan black earring,Deep red pentagon era,Deep red lifting eye,Brownness short voume hair,Orange oval mouth,Blue aquiline nose,Cyan triangle necklace,Cyan  six wings
Manuel,White cyan authority,Brownnesself ear,Light golden black willow eye,Dark red arc bangs wave hair,Deep red round mouth,Deep blue long nose,Violet ellipse truncheon,Golden four winged
Cassiel,Golden butterfly head band,Cyan pentagon era,Yellow golden black perch blossom eye,Brownness side swept fringe waves  hair,Viole heart shaped mouth,Red short nose,Golden spear,White wing
Ambiel,Blue necklace,Light red  cat ear,Cyan black litchi eye,Dark red shoulder length hair,Red mouth,Pink aquiline nose,Blue trident,Golden four winged
Michael,White long stick,Light red rabbit ear,Orange narrow eye,Golden the points bang waves  hair,Red heart shaped mouth,Light red  pointed nose,Yellow semicircle truncheon,Black  six wings
Malahidiel,Blue black,Brownness short ear,Light orange litchi eye,Cyan the curly hair,Light yellow oval mouth,Red aquiline nose,Cyan dress cross necklace,Violet wing
Zuriel,Violet  hair clasp,Light black pentagon era,Light yellow orange black round eye,Cyan the vertical bun hair,Rectangle mouth,Deep orange pointed nose,Cyan triangle necklace,White four winged
Danae,Violet  hair clasp,Deep yellow long ear,Light red black willow eye,Golden points in the temples hair,Black mouth,Cyan long nose,,Golden two wing
Malahidiel,Red long stick,Blue cat ear,Deep black lifting eye,White short voume hair,Brownness mouth,Deep red short nose,Golden cross,Cyan  six wings
Verchiel,Cyan pink earrings,Light black  bar type ear,Deep red lifting eye,White the curly hair,Orange mouth,Light brownness round nose,,Violet wing
Zuriel,Yellow helmet,Cyan cat ear,Cyan golden black rui cheng eye,Green long hair,Rectangle mouth,Pink aquiline nose,Cyan cross,Violet four winged
Zuriel,Pink necklace,Blue long ear,Cyan orange lifting eye,Golden waves hair,Deep red heart shaped mouth,Orange pointed nose,Golden semicircle truncheon,Cyan wing
Malahidiel,Blue black,Blue deer ear,Light yellow orange black round eye,Dark red shawls hair,Black heart shaped mouth,Deep red aquiline nose,,Golden wing
Manuel,Pink pendant,Violet triangle ear,Cyan yellow black perch blossom eye,Dark red shoulder length hair,Violet mouth,Cyan aquiline nose,Red clothing,Golden six wings
Cassiel,Green round earring,Violet bar type ear,Blue black phonix eye,Brownness side swept fringe waves  hair,Black rectangle mouth,Deep red round nose,Red clothing,Black  six wings
Gabriel,White violet cat head band,Green elf ear,Bright red black phonix eye,Black arc bangs wave hair,Black round mouth,Deep red long nose,Cyan white ellipse truncheon,Cyan  six wings
Cassiel,Green crown,Light red  cat ear,Yellow gray black round eye,Dark red shoulder length hair,Orange oval mouth,Deep red short nose,Blue spear,White four winged
Haniel,Green belt,Deep red elf ear,Deep black lifting eye,Brownness waves hair,Black rectangle mouth,Light orange pointed nose,Violet ellipse truncheon,Golden six wings
Hamaliel,Cyan wing cloak,Violet long ear,Yellow golden black perch blossom eye,Violet shoulder length hair,Small orange mouth,Blue aquiline nose,Blue spear,Golden wing
Malahidiel,Cyan pink earrings,Brownness rabbit ear,Yellow black lifting eye,Dark red points in the temples hair,Deep red oval mouth,Dark red round nose,Red shield,Violet wing
Zuriel,Pink necklace,Green  bar type ear,Violet black willow eye,Golden the vertical bun hair,Violet oval mouth,Cyan aquiline nose,Red V necklace,
