type,       attribute1,   attribute2,"	attribute3","	attribute4","	attribute5"
Aurora,Blue headset,Light cyan eye&pink eyebrow,Deep red Curly,Black Mouth,Red trapeziod wing 
Kingfisher,orange perked cap,Small black eye&long eyebrow,Black red hair,Blue small Mouth,Dark blue cyan wing
Turkey,White square glasses,Big black eye&long eyebrow,Black short hair,Golden polygon Mouth,Red trapeziod wing 
Pelican,Black pink Hat,Red eye&black eyebrow,Blue punk,Black pink Mouth,Colours front shape wing
Zebra Finch,Yellow quadrangle Hat,Red eye&black eyebrow,Blue broken,Black Mouth,Gray rhomboid wing
Blue Bird,White square glasses,Big black eye&black long eyebrow,Pink broken,Deep Blue triangle Mouth,Orange triangle  wing
Turkey,Pink necklace,Big black eye&orange eyebrow,Orange middle parting,Light blue short Mouth, Dark violet front shape wing
Penguin,orange perked cap,Black purple eye&long eyebrow,Black yellow hair,Golden small Mouth,Yellow trapeziod wing 
Swallow,Orange black polygon Hat,Black cyan eye&long eyebrow,Yellow Curly,Pale yellow triangle  Mouth,Red wing
Pigeon,Violet red polygon Hat,Light cyan eye&pink eyebrow,Green crown,Black yellow long Mouth,Red rhomboid wing
Woodpecker,Pink  trapezoid  Hat,Black eye&pink eyebrow,Black short hair,Red triangle Mouth,Agree trapeziod wing  
Swan,Black cyan Hat,Black eye&orange eyebrow,Above color crown,Black yellow Mouth,Blue  triangle  wing
Bullfinch,Red black triangle glasses,Black cyan eye&long eyebrow,Light cyan hair,Orange triangle small Mouth,Violet rhomboid wing
Zebra Finch,Deep blue mesh cap,Small black eye&orange round eyebrow,Blue long hair,Red triangle Mouth,Gray rhomboid wing
Crow,Deep blue polygon Hat,Cambridge blue eye&black long eyebrow,Pink middle parting,Yellow long Mouth,Red rhomboid wing
Vulture,Orange yellow round Hat,Black eye&deep orange eyebrow,Black yellow hair,Light blue short Mouth,Red wing
Vulture,Red black pentagon glasses,Orange eye& eyCambridge blue eyebrow,Red hairdo,Deep yellow triangle  Mouth,Iridescence wing
Penguin,Black flat Hat,Red eye&black eyebrow,Light cyan shorthair,Golden square Mouth,Cyan yellow sector wing
Thrush,Red black round glasses,Black whiteeye&round eyebrow,Yellow Curly,Orange square Mouth,Blue  triangle  wing
Penguin,Orange round Hat,Black eye&orange eyebrow,Pink middle parting,Light blue short Mouth,Red trapeziod wing 
Bullfinch,Red round glasses,Orange eye& eyCambridge blue eyebrow,Red airplane,Black long Mouth,Orange white sector wing
Aurora,Deep orange black round hat,Cyan black eye&long eyebrow,Light cyan shorthair,Deep Gray triangle Mouth,Red sector wing
Seagull,Blue Hat,Light cyan  eye&orange long eyebrow,Blue hairdo,Red triangle Mouth,White black rhomboid wing
Seagull,Black blue orange round Hat,Black eye&orange eyebrow,Black long hair,Blue Naroon,Grey violet sector wing
Kingfisher,Blue square glasses,Black eye&orange eyebrow,Plae yellow braid,Black orange black Mouth,Colours tooth profine wing
Swan,Dark blue gray polygon Hat,Black cyan eye&long eyebrow,Blue Curly,Red short Mouth,Violet trapeziod wing 
Frigate Bird,Deep blue trapezoid Hat,Black eye&round eyebrow,Orange hairdo,Pale red Mouth,Yellow trapeziod wing 
Hummingbird,Dark blue gray polygon Hat,White eye&black long eyebrow,Red punk,Deep Gray triangle Mouth,Dark Colours wing
Swan,Blue black triangle glasses,Black eye&round eyebrow,Black broken,Deep Gray triangle Mouth,Dark cyan wing 
Zebra Finch,Black triangle glasses,Light cyan  eye&orange long eyebrow,Yellow Curly,Golden triangle small Mouth,Blue tooth profine wing
Blue Bird,Red black quadrangle Hat,Small black eye&orange round eyebrow,Golden airplane,Golden Mouth,Dark blue  wing 
Crow,Dark orange necklace,Blue black eye&long eyebrow,Blue hairdo,Black bluw long Mouth,Red wing
Magpie,Dark blue headset,Black eye&yellow eyebrow,Orange middle parting,Orange long Mouth,Dark red wing 
Vulture,Black orange necklace,Black eye&orange eyebrow,Green crown,Golden triangle Mouth,Dark black wing 
Hummingbird,orange perked cap,Small black eye&orange  eyebrow,Blue hairdo,Orange long Mouth,Black rhomboid wing
Thrush,Black brow hat,Black eye&orange long eyebrow,Black short hair,Golden Mouth,Yellow trapeziod wing 
Turkey,Pink necklace,Blue black eye&long eyebrow,Pink short hair,Deep orange triangle  Mouth,Dark black wing 
Kingfisher,Cyan pentagon glasses,Black eye&Black eyebrow,Red yellow crown,Orange triangle Mouth,Gray trapeziod wing 
Vulture,Colous pentagon glasses,Small black eye&orange round eyebrow,Black broken,Golden big Mouth,Pink wing 
Vulture,Orange yellow round Hat,Black eye&deep orange eyebrow,Light cyan hair,Black yellow long Mouth,Dark blue  wing 
Duck,Red round glasses,Black eye&round black eyebrow,Black middle parting,Deep Gray triangle Mouth,Orange yellow wing
Magpie,Dark black round Hat,Black eye&Black eyebrow,Red hairdo,Golden triangle small Mouth,Blue  triangle  wing
Duck,Violet round glasses,Black eye&jet black eyebrow,Above color crown,Orange triangle big Mouth,Light cyan front shape wing
Hummingbird,Deep gray  round Hat,Black eye&Black eyebrow,Pink Curly,Light blue short Mouth,Blue  triangle  wing
Hummingbird,Deep gray  round Hat,Small black eye&orange round eyebrow,Black yellow hair,Orange triangle small Mouth, Dark violet front shape wing
Zebra Finch,Deep blue trapezoid Hat,Red eye&black eyebrow,Light cyan hair,Gray triangle Mouth,Colours tooth profine wing
Pigeon,Blue flat Hat,Black eye&round black eyebrow,Cyan Curly,Red short Mouth,Agree sector wing
Hummingbird,Green Hat,Big black eye&long eyebrow,Light cyan hair,Orange small Mouth,Red wing
Oriole,Black necklace,Black purple eye&long eyebrow,Black short hair,Black orange long Mouth,Dark blue  wing 
Blue Bird,Yellow triangle Hat,Cyan eye&dark red eyebrow,Pink Curly,Orange triangle small Mouth,Cyan trapeziod wing 
Aurora,Green Hat,Black eye&long black eyebrow,Blue Curly,Blue black Mouth,Dark blue cyan wing
Kingfisher,Black white square glasses,Black eye&orange eyebrow,Light cyan shorthair,Black red long Mouth,Red wing
Bullfinch,Red black triangle glasses,Small black eye&orange round eyebrow,Blue punk,Deep orange triangle  Mouth,Red trapeziod wing 
Aurora,Black pink Hat,Small black eye&orange round eyebrow,Green braid,Pale yellow triangle  Mouth,Violet front shape wing
Kingfisher,Blue square glasses,Black purple eye&long eyebrow,Pink middle parting,Golden polygon Mouth,Dark blue  wing 
Magpie,Brow hat,Blue black eye&long eyebrow,Golden airplane,Pale gold Palegreen,Orange yellow wing
Turkey,Violet black  Hat,Light cyan eye&orange eyebrow,Red yellow crown,Golden small Mouth,Blue rhomboid wing
Chick,Dark blue gray polygon Hat,Black eye&pink eyebrow,Red short hair,Red triangle Mouth,White gray wing
Seagull,Brow hat,Black eye&jet black eyebrow,Light cyan hair,Black orange small Mouth,Agree trapeziod wing  
Woodpecker,Orange black  Hat,White eye&black long eyebrow,Green braid,Black triangle small Mouth, Dark violet front shape wing
Woodpecker,Orange black  Hat,Black eye&long black eyebrow,Blue long hair,Black triangle small Mouth,Blue cyan wing
Aurora,Dark blue  square glasses,Black eye&long black eyebrow,Pink long hair,Black long Mouth,Orange triangle  wing
Ostrich,Yellow quadrangle Hat,Black eye&long pink eyebrow,Orange long hair,Golden big Mouth,Pink wing 
Blue Bird,Black white Hat,Cyan eye&dark red eyebrow,Red short hair,Blue triangle  Mouth,White sector wing
Turkey,Blue trapezoid  Hat,Small black eye&orange round eyebrow,Yellow Curly,Orange square Mouth,Violet trapeziod wing 
Frigate Bird,Orange square glasses,Black eye&deep orange eyebrow,Blue long hair,Orange Mouth,Dark black wing 
Pigeon,Gray black Hat,Black eye&round eyebrow,Cyan punk,Orange short Mouth,Pink wing 
Hummingbird,Rainbow round Hat,Jet black eye&long eyebrow,Green crown,Deep Gray triangle Mouth,Red rhomboid wing
Kingfisher,Pink square glasses,Black eye&round black eyebrow,Above color crown,Orange Mouth,Colours tooth profine wing
Swallow,Pink necklace,Black cyan eye&long eyebrow,Red yellow crown,Pale gold Palegreen,Light cyan front shape wing
Duck,Violet red polygon Hat,Blue black eye&long eyebrow,Yellow braid,Orange quadrangle Mouth,Violet trapeziod wing 
Turkey,Deep blue trapezoid Hat,Small black eye&red long eyebrow,Red hairdo,Get black triangle Mouth,Cyan  tooth profine wing
Chick,Dark black round Hat,Black purple eye&long eyebrow,Black middle parting,Black yellow long Mouth,Yellow agree trapeziod wing
Wild Goose,Black white necklace,Black purple eye&long eyebrow,Pink broken,Orange polygon  Mouth,Orange triangle  wing
Hummingbird,Dark blue gray polygon Hat,Cyan eye&dark red eyebrow,Cyan Curly,Red triangle small Mouth,Violet rhomboid wing
Blue Bird,Red black quadrangle Hat,Small black eye&red long eyebrow,Orange long hair,Orange short Mouth,Violet rhomboid wing
Bullfinch,Dark black round Hat,Light cyan eye&orange eyebrow,Blue long hair,Black orange long Mouth,Blue trapeziod wing 
Blue Bird,Black white Hat,Light cyan eye&orange eyebrow,Pink long hair,Black red long Mouth,Red sector wing
Swallow,Orange yellow round Hat,Black eye&round black eyebrow,Blue short hair,Blue small Mouth,Dark Colours wing
Wild Goose,Pink red round Hat,Black eye&round black eyebrow,Yellow braid,Orange triangle Mouth,White black rhomboid wing
Flamingo,Blue trapezoid  Hat,Black purple eye&long eyebrow,Black long hair,Deep yellow triangle  Mouth,Blue rhomboid wing
Pigeon,Gray black Hat,Blue eye&blue eyebrows,Cyan Curly,Blue triangle  Mouth,Dark black wing 
Magpie,Dark orange necklace,Black eye&jet black eyebrow,Blue punk,Get black triangle Mouth,Dark blue  wing 
Swan,Dark blue round Hat,Black red eye&A round eyebrow,Pink long hair,Deep Blue triangle Mouth,Orange trapeziod wing 
Hornbill,Dark black round Hat,White eye&black long eyebrow,Cyan short hair,Deep Golden triangle Mouth,Colours sector wing
Swallow,Yellow quadrangle Hat,White eye&Black eyebrow,Red hairdo,Orange triangle big Mouth,Dark blue  wing 
Pigeon,Blue flat Hat,White eye&Black eyebrow,Black middle parting,Deep Orange square Mouth,Gray trapeziod wing 
Ostrich,Deep blue trapezoid Hat,Cyan eye&dark red eyebrow,Red airplane,Orange small Mouth,Yellow agree front shape wing 
Duck,Blue flat Hat,Light cyan eye&pink eyebrow,Orange short hair,Black pink Mouth,Blue trapeziod wing 
Swan,Orange square glasses,Cambridge blue eye&black long eyebrow,Yellow braid,Blue triangle  Mouth,Dark cyan wing 
Turkey,Deep blue trapezoid Hat,Black whiteeye&round eyebrow,Black short hair,Orange polygon  Mouth,Violet rhomboid wing
Hummingbird,Green Hat,Black cyan eye&long eyebrow,Orange middle parting,Blue Naroon,Khaki front shape wing
Duck,White square glasses,White eye&black long eyebrow,Red yellow crown,Light orange short Mouth,Blue front shape wing 
Hornbill,Deep orange black round hat,Black eye&deep orange eyebrow,Red airplane,Black red long Mouth,Gray trapeziod wing 
Penguin,Light cyan agree necklace,White eye&Black eyebrow,Plae yellow braid,Orange polygon  Mouth,Violetv wing
Hummingbird,Yellow quadrangle Hat,Blue eye&blue eyebrows,Cyan short hair,Black triangle small Mouth,Orange rhomboid wing
Penguin,Dark orange necklace,White eye&black long eyebrow,Golden airplane,Blue Naroon,Red trapeziod wing 
Blue Bird,Black white Hat,Cyan black eye&long eyebrow,Blue hairdo,Pale gold Palegreen,Violet rhomboid wing
Crow,Dark red black glasses,Small black eye&orange round eyebrow,Orange short hair,Light orange Mouth,Yellow agree trapeziod wing
Flamingo,Red round glasses,Black red eye&A round eyebrow,Plae yellow braid,Black pink Mouth,White gray wing
Hummingbird,Yellow quadrangle Hat,Big black eye&orange eyebrow,Yellow braid,Black bluw long Mouth,Red front shape wing 
Kingfisher,Green Hat,Jet black eye&long eyebrow,Golden airplane,Golden small Mouth,Violet trapeziod wing 
Chick,Dark black round Hat,Black eye&pink eyebrow,Blue long hair,Orange triangle Mouth,Dark black wing 
Blue Bird,Orange square glasses,Light cyan eye&orange eyebrow,Black middle parting,Black pink Mouth,Dark blue cyan wing
Seagull,Black Hat,Black eye&round eyebrow,Light cyan hair,Orange small Mouth,Agree wing
Hornbill,Dark black round Hat,Blue eye&blue eyebrows,Plae yellow braid,Black yellow Mouth,Colours tooth profine wing
Penguin,Violet round glasses,Jet black eye&long eyebrow,Above color crown,Deep Blue triangle Mouth,Yellow tooth profine wing
Vulture,Black orange necklace,Black eye&yellow eyebrow,Red Curly,Orange triangle small Mouth,Black trapeziod wing  
Ostrich,Orange yellow round Hat,Cambridge blue eye&black long eyebrow,Pink Curly,Gray big Mouth,Blue  triangle  wing
Turkey,Deep yellow arch Hat,Black eye&round black eyebrow,Green braid,Golden triangle small Mouth,Yellow rhomboid wing
Ostrich,Orange black  Hat,Big black eye&black long eyebrow,Red airplane,Blue Naroon,Red trapeziod wing 
Flamingo,Black white necklace,Black eye&long pink eyebrow,Blue punk,Deep Blue triangle Mouth,Colours tooth profine wing
Duck,Yellow triangle Hat,Cyan black eye&long eyebrow,Blue Curly,Deep Golden triangle Mouth,Black rhomboid wing
Pigeon,Black blue Hat,black orange eye&long eyebrow,Red punk,Deep Golden triangle Mouth,Agree rhomboid wing
Flamingo,Black white necklace,Black cyan eye&long eyebrow,Red punk,Blue small Mouth,Yellow tooth profine wing
Crow,Brow hat,Light cyan  eye&orange long eyebrow,Blue hairdo,Orange small Mouth,Blue  triangle  wing
Crow,Deep blue polygon Hat,Black white eye&long eyebrow,Golden airplane,Deep yellow triangle  Mouth,Violetv wing
Ostrich,Deep blue mesh cap,Black eye&long eyebrow,Orange short hair,Gray triangle Mouth,Violet front shape wing
Bullfinch,Orange black white round Hat,Small black eye&orange round eyebrow,Red airplane,Get black triangle Mouth,Orange trapeziod wing 
Swallow,Deep blue mesh cap,Black eye&rectangle eyebrow,Deep red Curly,Red triangle Mouth,Violet trapeziod wing 
Hornbill,Black pink Hat,Light cyan eye&orange eyebrow,Red airplane,Blue triangle  Mouth,Cyan yellow sector wing
Blue Bird,Black arch Hat,Cyan eye&dark red eyebrow,Orange short hair,Golden polygon Mouth,White black rhomboid wing
Swallow,Light cyan necklace,Cambridge blue eye&pink eyebrow,Black yellow hair,Golden triangle small Mouth,Violet front shape wing
Turkey,Deep purplepentagon glasses,Small black eye&orange round eyebrow,Pink long hair,Blue black Mouth,Orange rhomboid wing
Magpie,Dark orange necklace,Black eye&deep orange eyebrow,Blue broken,Black yellow Mouth,Dark blue cyan wing
Seagull,Blue Hat,Black cyan eye&long eyebrow,Blue long hair,Black orange long Mouth,Blue trapeziod wing 
Chick,Dark black round Hat,Black eye&round black eyebrow,Blue punk,Black orange small Mouth,Khaki front shape wing
Hornbill,Violet round glasses,Black white eye&long eyebrow,Red hairdo,Golden triangle Mouth,Colours tooth profine wing
Wild Goose,Red black pentagon glasses,Black eye&rectangle eyebrow,Black red hair,Deep Gray triangle Mouth,White sector wing
Penguin,Orange round Hat,Cyan eye&dark red eyebrow,Pink broken,Pale yellow triangle  Mouth,Dark black wing 
Ostrich,Deep blue mesh cap,Black white eye&long eyebrow,Pink middle parting,Black pink Mouth,Red front shape wing 
Swallow,Orange yellow round Hat,Jet black eye&long eyebrow,Red airplane,Red triangle small Mouth,Yellow agree trapeziod wing
Zebra Finch,Deep blue mesh cap,Blue eye&blue eyebrows,Blue punk,Black orange black Mouth,Red sector wing
Bullfinch,Dark blue necklace,Big black eye&orange eyebrow,Blue hairdo,Orange long Mouth,Orange yellow wing
Swan,Dark blue gray polygon Hat,Cambridge blue eye&pink eyebrow,Yellow braid,Red triangle small Mouth,Orange triangle  wing
Vulture,Orange black polygon Hat,Cambridge blue eye&black long eyebrow,Golden airplane,Black yellow long Mouth,Blue front shape wing 
Penguin,Dark orange necklace,Small black eye&orange round eyebrow,Pink broken,Pale red Mouth,Cyan trapeziod wing 
Penguin,orange perked cap,Light cyan eye&orange eyebrow,Black yellow hair,Blue triangle  Mouth,White sector wing
Magpie,Blue black round glasses,Small black eye&orange round eyebrow,Cyan short hair,Orange quadrangle Mouth,Iridescence wing
Hornbill,Violet round glasses,Cyan black eye&long eyebrow,Black middle parting,Orange polygon  Mouth,Violet rhomboid wing
Penguin,orange perked cap,Cyan black eye&long eyebrow,Pink long hair,Black orange small Mouth,Red front shape wing 
Pigeon,Orange yellow Hat,Orange eye& eyCambridge blue eyebrow,Black long hair,Orange polygon  Mouth,Agree sector wing
Magpie,Dark black round Hat,Black eye&orange eyebrow,Blue broken,Black long Mouth,Orange rhomboid wing
Blue Bird,Red black quadrangle Hat,Black eye&jet black eyebrow,Blue long hair,Orange square Mouth,Blue  triangle  wing
Bullfinch,Dark black round Hat,White eye&Black eyebrow,Above color crown,Black yellow long Mouth,Agree sector wing
